0 , 0 , 0 , 20 , 0
20 , 0 , 0 , 20 , 0
40 , 0 , 0 , 20 , 0
60 , 0 , 0 , 50 , 0
80 , 0 , 0 , 50 , 0
100 , 0 , 0 , 80 , 0
120 , 0 , 0 , 80 , 0
140 , 0 , 0 , 80 , 0
160 , 0 , 0 , 80 , 0
180 , 0 , 0 , 80 , 0
200 , 0 , 0 , 110 , 0
220 , 0 , 0 , 110 , 0
240 , 0 , 0 , 133 , 0
260 , 0 , 0 , 140 , 0
280 , 0 , 0 , 140 , 0
300 , 0 , 0 , 140 , 1
320 , 0 , 0 , 140 , 1
340 , 0 , 0 , 140 , 1
360 , 0 , 0 , 140 , 1
380 , 0 , 0 , 140 , 1
400 , 0 , 0 , 140 , 1
420 , 0 , 0 , 140 , 1
440 , 0 , 0 , 140 , 3
460 , 0 , 0 , 140 , 4
480 , 0 , 0 , 140 , 4
500 , 0 , 0 , 140 , 5
520 , 0 , 0 , 140 , 6
540 , 0 , 0 , 141 , 5
560 , 0 , 0 , 141 , 5
580 , 0 , 0 , 141 , 5
600 , 0 , 0 , 141 , 5
620 , 0 , 0 , 141 , 5
640 , 0 , 0 , 141 , 5
660 , 0 , 0 , 141 , 5
680 , 0 , 0 , 141 , 5
700 , 0 , 0 , 141 , 6
720 , 0 , 0 , 142 , 5
740 , 0 , 0 , 142 , 5
760 , 0 , 0 , 142 , 5
780 , 0 , 0 , 142 , 5
800 , 0 , 0 , 143 , 4
820 , 0 , 0 , 143 , 6
840 , 0 , 0 , 123 , 6
860 , 0 , 0 , 124 , 5
880 , 0 , 0 , 124 , 5
900 , 0 , 0 , 124 , 5
920 , 0 , 0 , 124 , 5
940 , 0 , 0 , 124 , 5
960 , 0 , 0 , 124 , 5
980 , 0 , 0 , 124 , 5
1000 , 0 , 0 , 124 , 5
1020 , 0 , 0 , 124 , 5
1040 , 0 , 0 , 124 , 5
1060 , 0 , 0 , 124 , 5
1080 , 0 , 0 , 140 , 5
1100 , 0 , 0 , 154 , 5
1120 , 0 , 0 , 154 , 5
1140 , 0 , 0 , 159 , 4
1160 , 0 , 0 , 182 , 4
1180 , 0 , 0 , 187 , 4
1200 , 0 , 0 , 187 , 4
1220 , 0 , 0 , 187 , 4
1240 , 0 , 0 , 187 , 5
1260 , 0 , 0 , 186 , 5
1280 , 0 , 0 , 188 , 4
1300 , 0 , 0 , 190 , 3
1320 , 0 , 0 , 195 , 3
1340 , 0 , 0 , 206 , 2
1360 , 0 , 0 , 221 , 4
1380 , 0 , 0 , 222 , 4
1400 , 0 , 0 , 221 , 4
1420 , 0 , 0 , 218 , 4
1440 , 0 , 0 , 221 , 4
1460 , 0 , 0 , 222 , 4
1480 , 0 , 0 , 222 , 5
1500 , 0 , 0 , 221 , 5
1520 , 0 , 0 , 219 , 5
1540 , 0 , 0 , 220 , 5
1560 , 0 , 0 , 221 , 6
1580 , 0 , 0 , 222 , 6
1600 , 0 , 0 , 222 , 6
1620 , 0 , 0 , 221 , 6
1640 , 0 , 0 , 222 , 6
1660 , 0 , 0 , 223 , 5
1680 , 0 , 0 , 223 , 5
1700 , 0 , 0 , 223 , 5
1720 , 0 , 0 , 224 , 4
1740 , 0 , 0 , 206 , 4
1760 , 0 , 0 , 221 , 3
1780 , 0 , 0 , 225 , 3
1800 , 0 , 0 , 225 , 4
1820 , 0 , 0 , 223 , 4
1840 , 0 , 0 , 225 , 4
1860 , 0 , 0 , 222 , 4
1880 , 0 , 0 , 220 , 4
1900 , 0 , 0 , 223 , 4
1920 , 0 , 0 , 217 , 4
1940 , 0 , 0 , 223 , 4
1960 , 0 , 0 , 225 , 4
1980 , 0 , 0 , 224 , 4
2000 , 0 , 0 , 224 , 4
2020 , 0 , 0 , 233 , 4
2040 , 3 , 0 , 252 , 3
2060 , 5 , 0 , 285 , 3
2080 , 16 , 0 , 297 , 2
2100 , 15 , 0 , 296 , 2
2120 , 26 , 0 , 277 , 3
2140 , 16 , 0 , 282 , 3
2160 , 12 , 0 , 298 , 3
2180 , 25 , 1 , 307 , 3
2200 , 43 , 4 , 295 , 3
2220 , 25 , 5 , 319 , 3
2240 , 22 , 6 , 327 , 3
2260 , 17 , 6 , 327 , 3
2280 , 26 , 6 , 321 , 3
2300 , 35 , 6 , 310 , 3
2320 , 48 , 6 , 287 , 2
2340 , 44 , 6 , 285 , 2
2360 , 42 , 6 , 293 , 1
2380 , 20 , 6 , 290 , 1
2400 , 12 , 6 , 307 , 1
2420 , 13 , 6 , 323 , 1
2440 , 3 , 6 , 354 , 1
2460 , 0 , 6 , 380 , 1
2480 , 0 , 6 , 377 , 1
2500 , 0 , 6 , 380 , 1
2520 , 0 , 6 , 382 , 1
2540 , 0 , 6 , 380 , 1
2560 , 0 , 6 , 379 , 1
2580 , 0 , 6 , 381 , 1
2600 , 0 , 6 , 377 , 1
2620 , 0 , 6 , 385 , 1
2640 , 0 , 6 , 396 , 1
2660 , 0 , 6 , 410 , 1
2680 , 0 , 6 , 413 , 1
2700 , 0 , 6 , 420 , 1
2720 , 0 , 3 , 429 , 1
2740 , 0 , 3 , 433 , 2
2760 , 0 , 3 , 439 , 2
2780 , 0 , 3 , 440 , 2
2800 , 0 , 3 , 439 , 2
2820 , 0 , 3 , 438 , 2
2840 , 0 , 3 , 441 , 3
2860 , 0 , 3 , 438 , 3
2880 , 0 , 3 , 452 , 4
2900 , 0 , 3 , 454 , 4
2920 , 0 , 2 , 449 , 4
2940 , 0 , 2 , 461 , 5
2960 , 0 , 2 , 461 , 5
2980 , 0 , 2 , 467 , 5
3000 , 0 , 2 , 464 , 6
3020 , 0 , 0 , 452 , 6
3040 , 0 , 0 , 462 , 6
3060 , 0 , 0 , 463 , 6
3080 , 0 , 0 , 466 , 5
3100 , 0 , 0 , 462 , 5
3120 , 0 , 0 , 467 , 5
3140 , 0 , 0 , 470 , 5
3160 , 0 , 0 , 470 , 5
3180 , 0 , 0 , 466 , 5
3200 , 0 , 0 , 469 , 5
3220 , 0 , 0 , 468 , 5
3240 , 0 , 0 , 468 , 5
3260 , 0 , 0 , 467 , 5
3280 , 0 , 0 , 460 , 5
3300 , 0 , 0 , 450 , 7
3320 , 0 , 0 , 461 , 7
3340 , 0 , 0 , 471 , 7
3360 , 0 , 0 , 469 , 7
3380 , 0 , 0 , 472 , 6
3400 , 0 , 0 , 465 , 6
3420 , 0 , 0 , 474 , 6
3440 , 0 , 0 , 483 , 6
3460 , 0 , 0 , 486 , 6
3480 , 0 , 0 , 492 , 6
3500 , 0 , 0 , 486 , 6
3520 , 0 , 0 , 490 , 7
3540 , 0 , 0 , 483 , 7
3560 , 0 , 0 , 481 , 7
3580 , 0 , 0 , 478 , 7
3600 , 0 , 0 , 486 , 7
3620 , 0 , 0 , 494 , 7
3640 , 0 , 0 , 497 , 9
3660 , 0 , 0 , 503 , 9
3680 , 0 , 0 , 509 , 8
3700 , 0 , 0 , 525 , 8
3720 , 0 , 0 , 529 , 8
3740 , 0 , 0 , 541 , 8
3760 , 0 , 0 , 551 , 10
3780 , 0 , 0 , 557 , 9
3800 , 0 , 0 , 559 , 9
