0,{1},10,6,0,0,3.0
20,{1},10,46,0,0,23.0
40,{1},10,206,0,0,103.0
60,{1},10,376,0,0,188.0
80,{1},10,226,0,0,113.0
100,{1},10,246,0,0,123.0
120,{1},10,336,0,0,168.0
140,{1},10,636,0,0,318.0
160,{1},10,996,0,0,498.0
180,{1},10,1096,0,0,548.0
200,{1},10,1496,0,0,748.0
220,{1},10,1896,0,0,948.0
240,{1},10,2046,0,0,1023.0
260,{1},10,2266,0,0,1133.0
280,{1},10,1656,0,0,828.0
300,{1},10,1876,0,0,938.0
320,{1},10,406,0,0,203.0
340,{1},10,436,0,0,218.0
360,{1},10,456,0,0,228.0
380,{1},10,496,0,0,248.0
400,{1},10,626,0,0,313.0
420,{1},10,766,0,0,383.0
440,{1},10,1086,0,0,543.0
460,{1},10,1256,0,0,628.0
480,{1},10,1306,0,0,653.0
500,{1},10,426,1,0,303.0
520,{1},10,526,1,0,353.0
540,{1},10,546,1,0,363.0
560,{1},10,566,1,0,373.0
580,{1},10,616,1,0,398.0
600,{1},10,826,1,0,503.0
620,{1},10,1006,1,0,593.0
640,{1},10,1076,1,0,628.0
660,{1},10,1446,1,0,813.0
680,{1},10,1496,1,0,838.0
700,{1},10,1646,1,0,913.0
720,{1},10,1836,1,0,1008.0
740,{1},10,2106,1,0,1143.0
760,{1},10,2686,1,0,1433.0
780,{1},10,3036,1,0,1608.0
800,{1},10,3186,1,0,1683.0
820,{1},10,3416,1,1,1808.0
840,{1},10,3866,1,1,2033.0
860,{1},10,3886,1,1,2043.0
880,{1},10,3906,1,1,2053.0
900,{1},10,3926,1,1,2063.0
920,{1},10,3946,1,1,2073.0
940,{1},10,3966,1,1,2083.0
960,{1},10,3986,1,1,2093.0
980,{1},10,4006,1,1,2103.0
1000,{1},10,4026,1,1,2113.0
1020,{1},10,4046,1,1,2123.0
1040,{1},10,4066,1,1,2133.0
1060,{1},10,4086,1,1,2143.0
1080,{1},10,4106,1,1,2153.0
1100,{1},10,4126,1,1,2163.0
1120,{1},10,4146,1,1,2173.0
1140,{1},10,4791,1,3,2515.5
1160,{1},10,5951,1,3,3095.5
1180,{1},10,6991,1,3,3615.5
1200,{1},10,7641,1,3,3940.5
1220,{1},10,8786,1,3,4513.0
1240,{1},10,9751,1,3,4995.5
1260,{1},10,10491,1,3,5365.5
1280,{1},10,11531,1,3,5885.5
1300,{1},10,12601,1,3,6420.5
1320,{1},10,13536,1,3,6888.0
1340,{1},10,14741,1,3,7490.5
1360,{1},10,15811,1,3,8025.5
1380,{1},10,16596,1,3,8418.0
1400,{1},10,17351,1,3,8795.5
1420,{1},10,17991,1,4,9125.5
1440,{1},10,18611,1,4,9435.5
1460,{1},10,19786,1,4,10023.0
1480,{1},10,20796,1,4,10528.0
1500,{1},10,21836,1,4,11048.0
1520,{1},10,22846,1,4,11553.0
1540,{1},10,23751,1,4,12005.5
1560,{1},10,24686,1,4,12473.0
1580,{1},10,26026,1,4,13143.0
1600,{1},10,27561,1,4,13910.5
1620,{1},10,28586,1,4,14423.0
1640,{1},10,29401,1,4,14830.5
1660,{1},10,30381,1,4,15320.5
1680,{1},10,32201,1,4,16230.5
1700,{1},10,33721,1,4,16990.5
1720,{1},10,35001,1,4,17630.5
1740,{1},10,35861,1,4,18060.5
1760,{1},10,36961,1,4,18610.5
1780,{1},10,38226,1,4,19243.0
1800,{1},10,39581,1,4,19920.5
1820,{1},10,40816,1,4,20538.0
1840,{1},10,42081,1,4,21170.5
1860,{1},10,43451,1,4,21855.5
1880,{1},10,44356,1,4,22308.0
1900,{1},10,45291,1,4,22775.5
1920,{1},10,46511,1,4,23385.5
1940,{1},10,47731,1,4,23995.5
1960,{1},10,49446,1,4,24853.0
1980,{1},10,51011,1,4,25635.5
2000,{1},10,52276,1,4,26268.0
2020,{1},10,53466,1,4,26863.0
2040,{1},10,54446,1,4,27353.0
2060,{1},10,55546,1,4,27903.0
2080,{1},10,56631,1,4,28445.5
2100,{1},10,58081,1,5,29180.5
2120,{1},10,59676,1,5,29978.0
2140,{1},10,61211,1,5,30745.5
2160,{1},10,63781,1,5,32030.5
2180,{1},10,63311,1,5,31795.5
2200,{1},10,64711,1,5,32495.5
2220,{1},10,65871,1,5,33075.5
2240,{1},10,67316,1,5,33798.0
2260,{1},10,68671,1,5,34475.5
2280,{1},10,71196,1,5,35738.0
2300,{1},10,73541,1,5,36910.5
2320,{1},10,75736,1,5,38008.0
2340,{1},10,77631,1,5,38955.5
2360,{1},10,79841,1,5,40060.5
2380,{1},10,82156,1,5,41218.0
2400,{1},10,83001,1,5,41640.5
2420,{1},10,81846,2,5,41153.0
2440,{1},10,83006,2,5,41733.0
2460,{1},10,84991,2,5,42725.5
2480,{1},10,86271,2,5,43365.5
2500,{1},10,88481,2,5,44470.5
2520,{1},10,90511,2,5,45485.5
2540,{1},10,92061,2,5,46260.5
2560,{1},10,93551,2,5,47005.5
2580,{1},10,94846,2,5,47653.0
2600,{1},10,96426,2,5,48443.0
2620,{1},10,98236,2,6,49358.0
2640,{1},10,99876,2,6,50178.0
2660,{1},10,101311,2,6,50895.5
2680,{1},10,102861,2,6,51670.5
2700,{1},10,104331,2,6,52405.5
2720,{1},10,106271,2,6,53375.5
2740,{1},10,107576,2,6,54028.0
2760,{1},10,109481,2,6,54980.5
2780,{1},10,112246,2,6,56363.0
2800,{1},10,114936,2,6,57708.0
2820,{1},10,117466,2,6,58973.0
