0,10
20,140
40,210
60,320
80,350
100,350
120,420
140,550
160,620
180,660
200,840
220,1220
240,1470
260,1680
280,1890
300,2090
320,2150
340,2310
360,2320
380,2350
400,2470
420,2760
440,2850
460,3140
480,3470
500,3590
520,3740
540,3890
560,4220
580,4530
600,4680
620,4780
640,5450
660,6390
680,7220
